id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lon,lat
541,"39  CALIFORNIA AVE STE 204, PLEASANTON, CA, 94566",True,Exact,"39 CALIFORNIA AVE, PLEASANTON, CA, 94566",606834121,R,06,001,450741,1004,-121.862335,37.669125
662,"16451VANOWEN ST, VAN NUYS, CA, 91406",False,,,,,,,,,,
300,"4213  MCHENRY AVE, MODESTO, CA, 95356",True,Exact,"4213 MCHENRY AVE, MODESTO, CA, 95356",644834776,L,06,099,000506,4009,-120.99449,37.698463
421,"85  MARSH ROAD, ATHERTON, CA, 94027",True,Exact,"85 MARSH RD, ATHERTON, CA, 94027",192388091,L,06,081,611500,2000,-122.190025,37.471165
542,"1233  SHAW AVE. SUITE 100, FRESNO, CA, 93711",True,Non_Exact,"1233 W SHAW AVE, FRESNO, CA, 93711",639038850,L,06,019,004602,3005,-119.81373,36.808334
663,"4817  AZUSA CANYON RD, BALDWIN PARK, CA, 91706",True,Exact,"4817 AZUSA CANYON RD, BALDWIN PARK, CA, 91706",241245325,L,06,037,405002,1010,-117.942986,34.100437
301,"5621  BALBOA AVE, SAN DIEGO, CA, 92111",True,Exact,"5621 BALBOA AVE, SAN DIEGO, CA, 92111",195305046,R,06,073,008509,5003,-117.17998,32.819954
422,"360  CRESCENT DR, BEVERLY HILLS, CA, 90210",True,Non_Exact,"360 N CRESCENT DR, BEVERLY HILLS, CA, 90210",141572435,R,06,037,700801,3005,-118.39999,34.07146
543,"72000  MAGNESIA FALLS DR STE 3, RANCHO MIRAGE, CA, 92270",False,,,,,,,,,,
664,"958  HOMESTEAD RD, SANTA CLARA, CA, 95050",True,Exact,"958 HOMESTEAD RD, SANTA CLARA, CA, 95050",122902703,L,06,085,505600,3011,-121.94373,37.348877
302,"718  LA BREA AVE, INGLEWOOD, CA, 90302",False,,,,,,,,,,
423,"8976  GRANTLINE RD, ELK GROVE, CA, 95624",True,Non_Exact,"8976 GRANT LINE RD, ELK GROVE, CA, 95624",133366036,L,06,067,009324,2009,-121.3,38.431496
544,"8484  CLUBHOUSE BLVD, DESERT HOT SPRINGS, CA, 92240",True,Exact,"8484 CLUBHOUSE BLVD, DESERT HOT SPRINGS, CA, 92240",194721471,R,06,065,044517,1020,-116.53654,33.986423
665,"1425  VETERAN'S MEMORIAL CIRCLE, YUBA CITY, CA, 95993",False,,,,,,,,,,
303,"2221  SCENIC DRIVE, MODESTO, CA, 95355",True,Exact,"2221 SCENIC DR, MODESTO, CA, 95355",640537563,L,06,099,000905,2022,-120.956535,37.653183
424,"8976  GRANTLINE RD, ELK GROVE, CA, 95624",True,Non_Exact,"8976 GRANT LINE RD, ELK GROVE, CA, 95624",133366036,L,06,067,009324,2009,-121.3,38.431496
545,"1  DESERT LAKES DR, PALM SPRINGS, CA, 92264",True,Exact,"1 DESERT LAKES DR, PALM SPRINGS, CA, 92264",194764661,R,06,065,941000,4007,-116.5081,33.798965
666,"SUITE 128, VAN NESS/MCALLISTER SAN FRANCISCO, CA, 94102",False,,,,,,,,,,
304,"6311  VAN NUYS BLVD  # 418, VAN NUYS, CA, 91401",True,Exact,"6311 VAN NUYS BLVD, VAN NUYS, CA, 91401",141561058,L,06,037,128303,1003,-118.44872,34.185
425,"1341  LOS PADRES BLVD, SANTA CLARA, CA, 95050",False,,,,,,,,,,
546,"225  BRIDGER AVE STE 1020, LAS VEGAS, NV, 89101",True,Exact,"225 BRIDGER AVE, LAS VEGAS, NV, 89101",201867451,R,32,003,000700,2005,-115.14528,36.16824
667,", SAN FRANCISCO, CA, 94102",False,,,,,,,,,,
305,"10750  GLENOAKS BLVD  # 2, PACOIMA, CA, 91331",True,Exact,"10750 GLENOAKS BLVD, PACOIMA, CA, 91331",141551302,R,06,037,980021,1019,-118.40154,34.26432
426,"173  MAIN ST  # 400, SAYVILLE, NY, 11782",True,Non_Exact,"173 S MAIN ST, SAYVILLE, NY, 11782",114015447,R,36,103,147802,1019,-73.0792,40.736027
547,", , , nan",False,,,,,,,,,,
668,"VAN  NESS  RM. 126, SAN FRANCISCO, CA, 94102",False,,,,,,,,,,
306,"7453  OAKWOOD AVE, LOS ANGELES, CA, 90036",True,Exact,"7453 OAKWOOD AVE, LOS ANGELES, CA, 90036",141598636,R,06,037,214000,1003,-118.35233,34.07824
427,"4640  ADMIRALITY WAY STE 429, MARINA DEL REY, CA, 90292",True,Non_Exact,"4640 ADMIRALTY WAY, MARINA DEL REY, CA, 90292",141577227,L,06,037,702901,4005,-118.44103,33.981083
548,"850  COUNTRY CLUB DR, BANNING, CA, 92220",True,Exact,"850 COUNTRY CLUB DR, BANNING, CA, 92220",195046594,R,06,065,043812,2010,-116.94134,33.919598
669,", , , nan",False,,,,,,,,,,
307,"1501  LINCOLN, ANAHEIM, CA, 92805",False,,,,,,,,,,
428,"1556  KATELLA AVE, ANAHEIM, CA, 92805",True,Non_Exact,"1556 E KATELLA AVE, ANAHEIM, CA, 92805",144028028,R,06,059,086303,1024,-117.89235,33.803337
549,"161  OLD RANCH RD, PALM DESERT, CA, 92211",False,,,,,,,,,,
308,"5067  LOGAN AVE, SAN DIEGO, CA, 92113",True,Exact,"5067 LOGAN AVE, SAN DIEGO, CA, 92113",195704918,R,06,073,003305,3000,-117.08634,32.696762
429,"23276  POINTE DR STE 112, LAGUNA HILLS, CA, 92653",True,Non_Exact,"23276 S POINTE DR, LAGUNA HILLS, CA, 92653",144062225,R,06,059,062622,4008,-117.724266,33.625664
309,"3546  ADAMS ST, RIVERSIDE, CA, 92504",True,Exact,"3546 ADAMS ST, RIVERSIDE, CA, 92504",194740637,L,06,065,031501,2000,-117.421005,33.92901
670,"195  TIERRA REJADA ROAD  # 14, SIMI VALLEY, CA, 93065",True,Exact,"195 TIERRA REJADA RD, SIMI VALLEY, CA, 93065",640537612,L,06,111,007700,1032,-118.804436,34.274025
550,", , , nan",False,,,,,,,,,,
671,", , , nan",False,,,,,,,,,,
430,"5919  ROLLING RD, WOODLAND HILLS, CA, 91367",True,Exact,"5919 ROLLING RD, WOODLAND HLS, CA, 91367",141534701,L,06,037,137201,1002,-118.60588,34.178535
551,"3575  CAHUENGA BLVD. STE 125, LOS ANGELES, CA, 90068",False,,,,,,,,,,
672,", , , nan",False,,,,,,,,,,
310,"13134  DAY ST  # F301, MORENO VALLEY, CA, 92553",True,Exact,"13134 DAY ST, MORENO VALLEY, CA, 92553",194747312,L,06,065,042506,1029,-117.27876,33.929787
431,"31200  LANDAU BLVD.  # 2708, CATHEDRAL CITY, CA, 92270",True,Non_Exact,"31200 LANDAU BLVD, CATHEDRAL CTY, CA, 92234",195071395,L,06,065,044926,2000,-116.47558,33.822903
552,"2400  PROFESSIONAL PARKWAY STE 100, SANTA MARIA, CA, 93455",True,Exact,"2400 PROFESSIONAL PKWY, SANTA MARIA, CA, 93455",108662996,L,06,083,002011,1011,-120.43826,34.91661
673,"2201  CENTRAL AVE, ALAMEDA, CA, 94501",True,Exact,"2201 CENTRAL AVE, ALAMEDA, CA, 94501",125005408,L,06,001,428000,1014,-122.24682,37.76588
311,"1001  CENTRAL AVE, GLENDALE, CA, 91204",True,Non_Exact,"1001 S CENTRAL AVE, GLENDALE, CA, 91204",141610194,R,06,037,302401,2003,-118.257835,34.13483
432,"1054  TUSTIN AVE., ANAHEIM, CA, 92807",True,Non_Exact,"1054 N TUSTIN AVE, ANAHEIM, CA, 92807",144130316,R,06,059,021813,1033,-117.83735,33.853237
553,"28  211 DESERT PRINCESS DR, CATHEDRAL CITY, CA, 92234",False,,,,,,,,,,
674,", , , nan",False,,,,,,,,,,
312,"2801  ARTESIA BOULEVARD UNIT A, LONG BEACH, CA, 90805",False,,,,,,,,,,
433,"4500  IMPERIAL HWY, HAWTHORNE, CA, 90304",False,,,,,,,,,,
